Country,Category,Field,Year,Status,Score Percent
Albania,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Andorra,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Armenia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Austria,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Azerbaijan,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Belarus,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Belgium,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Bosnia and Herzegovina,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Bulgaria,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Croatia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Cyprus,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Czech Republic,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Denmark,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Estonia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Finland,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
France,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Georgia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Germany,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Greece,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Hungary,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Iceland,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Ireland,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Italy,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Kosovo,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Latvia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Liechtenstein,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Lithuania,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Luxembourg,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Malta,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Moldova,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Monaco,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Montenegro,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Netherlands,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
North Macedonia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Norway,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Poland,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Portugal,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Romania,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Russia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
San Marino,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Serbia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Slovakia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Slovenia,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Spain,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Sweden,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Switzerland,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Turkey,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Ukraine,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
United Kingdom,Intersex Bodily Integrity,Access to justice for victims and reparations,2022,Not applied,0
Albania,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Andorra,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Armenia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Austria,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Azerbaijan,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Belarus,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Belgium,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Bosnia and Herzegovina,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Bulgaria,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Croatia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Cyprus,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Czech Republic,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Denmark,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Estonia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Finland,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
France,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Georgia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Germany,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Greece,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Hungary,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Iceland,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Ireland,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Italy,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Kosovo,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Latvia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
